,0,1
655,23@4551,186
656,67@645,"1356,1900,2036,987,1948,1946"
657,134@3604,1582
658,72@4943,"195,1423"
659,147@1185,"69,694,1023,184,728,1122,694"
660,74@795,"1163,689,1172"
661,144@4246,"656,1643,1323"
662,50@3091,"941,1155,761,61,243,551,1096,1155,509,1612,385,941,1674,83,1096,643,1567,256,556,1321,446,731,1746,1717,1866"
663,106@3831,"268,777"
664,115@4047,"955,1873"
665,85@2488,"2055,1946,1104"
666,40@4559,"941,1652,580"
667,79@331,428
668,15@988,293
669,87@568,"15,604,1338"
670,115@991,186
671,11@3810,"1155,835,1059,777,246"
672,50@4861,"47,1023,428,207,1213"
673,69@2383,"694,822,428,730,1213,1104"
674,102@1989,"186,137"
675,20@5020,1368
676,40@3322,"1692,256,1423"
677,88@3754,"186,526,690,249"
678,147@2343,"551,508,738,137,1530,1423,1956,1475"
679,9@149,"583,1273"
680,66@2415,"926,246"
681,122@1701,"757,689,1714,1679,293"
682,48@4195,"2024,1539,1023,1931"
683,22@1285,"268,607,1874,1213"
684,129@478,"1023,137,2057,1475"
685,20@251,"1273,62"
686,34@389,1874
687,10@4496,"1548,1213"
688,31@1443,"689,694,1213,1418,694,1210,186,810,246,618,731"
689,49@2773,"1047,62,1258"
690,108@498,426
691,105@155,"1248,1479,1189"
692,115@202,"565,249"
693,6@4378,"635,1283,1850,1928,344,1928"
694,71@513,"1155,1928,124,1900"
695,91@3656,140
696,146@1649,1874
697,144@1162,"137,1479,1874"
698,22@712,"1925,1874"
699,119@4525,"186,1023,1093"
700,64@4275,"795,838"
701,2@1842,596
702,105@3272,"101,1423,605"
703,10@385,"1273,646"
704,121@4874,"1096,1023,731"
705,33@2775,"1869,186"
706,101@595,"592,565,607,1874,59,61"
707,85@659,"920,790"
708,20@1528,2084
709,58@2224,1690
710,50@1370,"1315,2024,1252,69,1163,1213,294"
711,78@4512,"1162,274,1880,319,966,336,605,1897"
712,56@1766,"1873,1418,980,1315,1873"
713,50@5158,"131,1613"
714,83@2754,"1506,1584,428"
715,103@3699,1479
716,108@205,"1093,643,1433,1273,1732,1530"
717,98@3825,1273
718,26@305,"993,1628,1874,476,709"
719,10@4713,605
720,138@659,"152,1674,2030,324,731"
721,152@490,"771,969"
722,149@19,152
723,152@3124,"2000,1135"
724,128@3042,"1093,1117"
725,39@4731,"1213,1563,1563,268,1714,1744,324"
726,4@2301,"15,268,835,1639,565,1785,236"
727,50@2095,728
728,70@1449,736
729,102@3377,"736,1246,1023,25,445,476"
730,139@1529,"293,1155,421,496,516,1306"
731,1@3045,622
732,67@1243,307
733,104@4906,"1730,1273"
734,7@1293,"1978,460,795,26"
735,56@4853,"1093,2079,137,969,1874"
736,53@2678,"186,1023"
737,111@582,1023
738,52@3455,"1217,268"
739,100@2145,"581,694,1410,1590,1928"
740,3@4917,"1273,605"
741,110@1480,"2003,1315,479"
742,104@1351,"829,1078"
743,10@2763,"586,1657"
744,92@994,689
745,92@3854,"268,491,186,246,941"
746,62@2586,"592,1441,2079,2071,580,643"
747,140@1063,"1023,1315,246,1315,62"
748,122@3029,"1189,581,1905,77,405,1956,405"
749,56@4075,761
750,39@3585,"1023,246"
751,119@2265,"460,186,556,1210,324"
752,1@1169,"1418,1397"
753,4@2036,"163,479,1423,1850,1956,1928"
754,92@4957,42
755,4@132,"1372,268,607,1874"
756,28@1303,"1155,1487,596"
757,99@3687,"941,1096,186,565,1126,682,1168,1213,731,731"
758,20@3539,"726,186,62"
759,18@813,"69,142,980,310,731"
760,42@1414,896
761,0@2912,246
762,50@1847,"137,1372,1654,649,1731,1797,1023"
763,90@1379,268
764,43@4459,"1189,1155,565,643,604,1189"
765,47@4202,"592,1078,1046,605"
766,6@2951,2071
767,42@3667,"186,1874"
768,87@3895,"186,256,324"
769,96@3224,"1692,1172,186"
770,143@1132,61
771,14@4105,"757,450"
772,106@5110,"268,342,1032,937,479"
773,22@160,1514
774,143@3383,"1479,1913"
775,49@3610,"565,324,1213,694"
776,148@2102,"2036,1092,1574,792,605"
777,37@5069,"1372,268,1930,1423,1177,845"
778,45@2768,"1869,268,1441,992"
779,98@4100,"581,186,565,1243"
780,3@703,"2072,1447,557"
781,63@4379,777
782,64@4522,"1096,1126,1567,1273,1210,176,1096,955"
783,145@2587,"1093,736"
784,4@2318,"268,2003,1963,1874,1210,1104,694,186,694,256"
785,149@962,1870
786,3@4585,"1210,694"
787,96@1237,"891,246,1126"
788,117@3851,"1155,591,77"
789,8@5222,"137,1650,137"
790,9@4961,"1023,62"
791,3@5069,"565,249,1928"
792,9@120,1403
793,141@4887,"1869,608,268,491,591,460,565"
794,35@3543,"1372,293,268,246"
795,106@2683,"1096,1514,1567"
796,23@39,"1418,1096,1717"
797,41@1189,1273
798,99@3573,"1483,777,596"
799,31@3019,"186,777"
800,30@5160,"1670,2089,1979,1243,268,144,969"
801,58@4855,1606
802,121@3042,"941,969,293"
803,101@4082,"142,1669,142"
804,10@4484,1479
805,96@4469,"1479,1986"
806,119@3917,1213
807,80@3830,"1674,186,1948,931,1350,460,77,1948,1350,596"
808,40@3954,"980,1104"
809,45@3156,"1507,2058"
810,8@196,605
811,118@4325,"1674,152,1625"
812,50@427,"1652,534,181,1484,1521"
813,28@1243,"244,1764,307"
814,114@4477,186
815,99@1823,"689,1155,1874,1210,1956,1213"
816,58@4743,"969,346"
817,22@3400,"1093,268,581,1363,2036,1484"
818,151@84,"795,1368,1479,500"
819,15@4222,1213
820,131@3106,"496,516,1350"
821,47@530,"1869,1423,1213"
822,79@3638,"835,607"
823,106@2723,1078
824,16@5070,"1397,246,2073,1213,152,1305,428"
825,18@63,"1873,1172"
826,147@2421,"1273,137"
827,149@2812,"152,941,1621,1632"
828,8@3393,897
829,16@3920,"689,1126,1979,1213"
830,10@4579,"1848,1449,152,1848,761"
831,140@3963,"1931,142,2079,1931,146"
832,42@5003,186
833,145@4475,"2060,2073,1104"
834,145@2888,694
835,92@757,"268,608,992"
836,28@2006,"186,1536,1172,445,2073,1213,731,186,731"
837,114@733,508
838,148@3824,1874
839,10@1539,"777,643,1273"
840,89@1269,1023
841,140@1212,"592,293,705,1172,1273,596"
842,146@4405,"1674,1495,268,1155,1479,445,1213,268,607"
