,0,1,2
291,96@2278,"[[1023, 1], [479, 1], [969, 1], [2079, 1], [1732, 1]]",3.0
292,4@3946,"[[1189, 1], [1155, 1], [1155, 1], [777, 1], [1874, 1], [1243, 1]]",3.0
293,58@3776,"[[243, 1], [703, 1], [1874, 1], [449, 1]]",3.0
294,15@193,"[[1189, 1], [689, 1], [1048, 1], [736, 1], [596, 1]]",3.0
295,105@3461,"[[268, 1], [929, 1], [460, 1], [460, 1]]",2.0
296,145@2084,"[[1023, 1], [526, 1]]",5.0
297,147@4436,"[[1418, 1], [89, 1], [937, 1], [319, 1]]",3.0
298,7@4637,"[[293, 1], [565, 1], [62, 1], [293, 1]]",3.0
299,14@2454,"[[941, 1], [479, 1]]",4.0
300,50@71,"[[1953, 1], [142, 1], [1692, 1], [1418, 1], [1548, 1], [941, 1], [243, 1], [1548, 1], [1623, 1], [596, 1], [694, 1], [1023, 1], [987, 1], [1210, 1], [731, 1], [731, 1], [163, 1]]",4.0
301,64@1179,"[[705, 1], [705, 1]]",5.0
302,59@998,"[[460, 1], [307, 1], [288, 1]]",4.0
303,65@4180,"[[1546, 1]]",2.0
304,135@3664,"[[1397, 1]]",3.0
305,51@2997,"[[1507, 1], [1715, 1]]",4.0
306,66@4340,"[[1177, 1], [77, 1]]",1.0
307,129@2875,"[[1674, 1], [1397, 1], [1869, 1], [246, 1], [1213, 1]]",3.5
308,88@3565,"[[795, 1]]",4.0
309,1@3630,"[[835, 1], [406, 1], [1567, 1], [777, 1]]",4.0
310,75@2586,"[[380, 1], [1363, 1], [2071, 1], [1023, 1]]",4.0
311,59@366,"[[1142, 1]]",4.0
312,113@1906,"[[694, 1], [422, 1], [731, 1], [694, 1], [428, 1]]",4.0
313,22@264,"[[1928, 1]]",3.0
314,93@4659,"[[137, 1], [969, 1], [689, 1], [137, 1], [445, 1], [1213, 1], [1570, 1]]",4.5
315,142@2011,"[[1951, 1], [268, 1]]",4.0
316,4@4228,"[[564, 1], [1354, 1], [568, 1], [428, 1], [2003, 1], [1213, 1], [361, 1], [1169, 1]]",2.0
317,39@2818,"[[1093, 1], [777, 1], [62, 1]]",4.0
318,7@869,"[[1650, 1], [186, 1], [1514, 1], [1873, 1], [47, 1], [1873, 1], [1248, 1], [428, 1], [1248, 1]]",3.0
319,138@316,"[[730, 1], [445, 1], [1104, 1]]",4.0
320,152@4248,"[[163, 1]]",5.0
321,48@677,"[[206, 1], [77, 1], [777, 1], [501, 1], [1867, 1], [361, 1], [1869, 1], [268, 1], [2001, 1], [353, 1], [187, 1]]",4.5
322,99@4077,"[[736, 1], [1397, 1], [1172, 1], [246, 1]]",4.0
323,67@3465,"[[581, 1], [1530, 1], [1874, 1], [1134, 1]]",2.0
324,99@383,"[[1487, 1], [1479, 1]]",3.0
325,9@4445,"[[1232, 1]]",5.0
